,Adsorbate 1,Adsorbate 2,num of Atoms,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average EA,Average num of Valence Electron,PE 1 minus PE 2,Covalent Radius 1 minus Covalent Radius 2,VdW Radius 1 minus VdW Radius 2,FIE 1 minus FIE 2,EA 1 minus EA 2,num of Valence 1 minus num of Valence 2,Average VdW Radius squared,Difference,Gdiff_ML,Gdiff_Final
33,OH,I,1.5,28.75,2.74,0.91,12.03,2.08,7.0,0.16,0.85,0.62,3.16,1.95,0.0,2.79,,-0.05095745623111725,-0.05095745623111725
34,N,O,1.0,7.5,3.24,0.67,14.08,0.7,5.5,0.4,0.08,0.03,0.92,1.53,1.0,2.36,,-0.21516446769237518,-0.21516446769237518
35,N,OH,1.5,5.75,2.93,0.6,14.07,0.52,6.0,0.22,0.23,0.19,0.93,1.18,2.0,2.12,,-0.13717976212501526,-0.13717976212501526
36,N,N,1.0,7.0,3.04,0.71,14.53,-0.07,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,,-0.20537640154361725,-0.20537640154361725
37,N,NH,1.5,5.5,2.83,0.62,14.3,0.14,5.5,0.42,0.19,0.18,0.47,0.41,1.0,2.14,,-0.21516446769237518,-0.21516446769237518
38,N,NH2,2.0,5.0,2.76,0.58,14.22,0.2,6.0,0.56,0.26,0.23,0.62,0.55,2.0,2.05,,-0.11029549688100815,-0.11029549688100815
39,N,NH3,2.5,4.75,2.73,0.57,14.18,0.24,6.5,0.63,0.29,0.26,0.7,0.62,3.0,2.01,,0.045237842947244644,0.045237842947244644
40,N,C,1.0,6.5,2.8,0.73,12.9,0.6,4.5,0.49,0.04,0.15,3.27,1.33,1.0,2.64,-0.229,-0.22946594655513763,-0.229
41,N,CH,1.5,5.25,2.71,0.63,13.48,0.47,5.0,0.67,0.17,0.1,2.11,1.08,0.0,2.25,,-0.22346735000610352,-0.22346735000610352
42,N,CH2,2.0,4.83,2.68,0.59,13.68,0.43,5.5,0.72,0.25,0.18,1.72,0.99,1.0,2.13,,-0.18509776890277863,-0.18509776890277863
43,N,CH3,2.5,4.63,2.66,0.57,13.77,0.41,6.0,0.75,0.28,0.23,1.52,0.95,2.0,2.07,-0.09523,-0.09505298733711243,-0.09523
44,N,S,1.0,11.5,2.81,0.87,12.45,1.0,5.5,0.46,0.32,0.25,4.17,2.15,1.0,2.81,0.11756,0.11749818921089172,0.11756
45,N,SH,1.5,7.75,2.72,0.7,13.26,0.67,6.0,0.65,0.03,0.05,2.56,1.49,2.0,2.33,,-0.1114688441157341,-0.1114688441157341
46,N,SH2,2.0,6.5,2.68,0.64,13.53,0.56,6.5,0.71,0.15,0.15,2.02,1.27,3.0,2.18,,0.01218025665730238,0.01218025665730238
47,N,F,1.0,8.0,3.51,0.68,15.98,1.67,6.0,0.94,0.07,0.08,2.89,3.47,2.0,2.28,,-0.12120383977890015,-0.12120383977890015
48,N,Cl,1.0,12.0,3.1,0.85,13.75,1.77,6.0,0.12,0.28,0.2,1.57,3.68,2.0,2.72,,-0.0522359162569046,-0.0522359162569046
49,N,Br,1.0,21.0,3.0,0.93,13.17,1.65,6.0,0.08,0.43,0.3,2.72,3.43,2.0,2.89,,-0.03623870015144348,-0.03623870015144348
50,N,I,1.0,30.0,2.85,1.02,12.49,1.49,6.0,0.38,0.62,0.43,4.08,3.13,2.0,3.12,,-0.005602178163826466,-0.005602178163826466
51,NH,O,1.5,6.0,3.03,0.58,13.84,0.9,6.0,0.82,0.11,0.15,0.45,1.12,0.0,2.1,,-0.21027781069278717,-0.21027781069278717
52,NH,OH,2.0,4.25,2.72,0.5,13.84,0.72,6.5,0.2,0.04,0.02,0.46,0.77,1.0,1.87,,-0.16783592104911804,-0.16783592104911804
53,NH,N,1.5,5.5,2.83,0.62,14.3,0.14,5.5,0.42,0.19,0.18,0.47,0.41,1.0,2.14,,-0.21516446769237518,-0.21516446769237518
54,NH,NH,2.0,4.0,2.62,0.52,14.07,0.34,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,,-0.18775658309459686,-0.18775658309459686
